term,uri
Biota,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Boundaries,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
"Climatology, Meteorology and Atmosphere",https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Economy,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Elevation,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Environment,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Farming,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Geoscientific Information,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Health,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Imagery and Base Maps,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Inland Waters,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Intelligence and Military,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Location,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Oceans,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Planning and Cadastral,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Society,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Structure,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Transportation,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
Utilities and Communication,https://www2.usgs.gov/science/about/thesaurus-full.php?thcode=15 
